,County,State,Race,Population Size
0,Allegany County,MD,Two or more Races,1457
1,Allegany County,MD,Native Hawaiian or Pacific Islander,49
2,Allegany County,MD,Black,5818
3,Allegany County,MD,White,62142
4,Allegany County,MD,Native American or Alaskan,153
5,Allegany County,MD,Asian,797
6,Anne Arundel County,MD,Native Hawaiian or Pacific Islander,686
7,Anne Arundel County,MD,Two or more Races,19271
8,Anne Arundel County,MD,Asian,24437
9,Anne Arundel County,MD,White,426312
10,Anne Arundel County,MD,Native American or Alaskan,2604
11,Anne Arundel County,MD,Black,105924
12,Baltimore County,MD,Native American or Alaskan,3718
13,Baltimore County,MD,White,497980
14,Baltimore County,MD,Black,250909
15,Baltimore County,MD,Asian,52266
16,Baltimore County,MD,Native Hawaiian or Pacific Islander,634
17,Baltimore County,MD,Two or more Races,21863
18,Calvert County,MD,White,74964
19,Calvert County,MD,Black,12286
20,Calvert County,MD,Asian,1750
21,Calvert County,MD,Native Hawaiian or Pacific Islander,104
22,Calvert County,MD,Two or more Races,2996
23,Calvert County,MD,Native American or Alaskan,425
24,Caroline County,MD,Native American or Alaskan,290
25,Caroline County,MD,Two or more Races,834
26,Caroline County,MD,Native Hawaiian or Pacific Islander,107
27,Caroline County,MD,Asian,400
28,Caroline County,MD,Black,4717
29,Caroline County,MD,White,27058
30,Carroll County,MD,Native American or Alaskan,453
31,Carroll County,MD,Black,6597
32,Carroll County,MD,White,154410
33,Carroll County,MD,Native Hawaiian or Pacific Islander,98
34,Carroll County,MD,Two or more Races,3379
35,Carroll County,MD,Asian,3510
36,Cecil County,MD,Two or more Races,2568
37,Cecil County,MD,Native Hawaiian or Pacific Islander,67
38,Cecil County,MD,Native American or Alaskan,422
39,Cecil County,MD,Black,7501
40,Cecil County,MD,White,90827
41,Cecil County,MD,Asian,1470
42,Charles County,MD,Native Hawaiian or Pacific Islander,218
43,Charles County,MD,Two or more Races,6541
44,Charles County,MD,Native American or Alaskan,1257
45,Charles County,MD,White,67932
46,Charles County,MD,Black,81764
47,Charles County,MD,Asian,5545
48,Dorchester County,MD,Native Hawaiian or Pacific Islander,21
49,Dorchester County,MD,Two or more Races,781
50,Dorchester County,MD,White,21303
51,Dorchester County,MD,Black,9266
52,Dorchester County,MD,Asian,393
53,Dorchester County,MD,Native American or Alaskan,165
54,Frederick County,MD,Native American or Alaskan,1312
55,Frederick County,MD,White,209391
56,Frederick County,MD,Black,27675
57,Frederick County,MD,Asian,12864
58,Frederick County,MD,Native Hawaiian or Pacific Islander,230
59,Frederick County,MD,Two or more Races,8075
60,Garrett County,MD,Native Hawaiian or Pacific Islander,1
61,Garrett County,MD,Black,322
62,Garrett County,MD,Native American or Alaskan,63
63,Garrett County,MD,White,28232
64,Garrett County,MD,Asian,120
65,Garrett County,MD,Two or more Races,276
66,Harford County,MD,Two or more Races,7275
67,Harford County,MD,Native Hawaiian or Pacific Islander,246
68,Harford County,MD,Native American or Alaskan,824
69,Harford County,MD,Black,37898
70,Harford County,MD,White,201330
71,Harford County,MD,Asian,7868
72,Howard County,MD,Asian,62820
73,Howard County,MD,Black,66413
74,Howard County,MD,Native American or Alaskan,1385
75,Howard County,MD,Native Hawaiian or Pacific Islander,278
76,Howard County,MD,Two or more Races,12571
77,Howard County,MD,White,182223
78,Kent County,MD,Native Hawaiian or Pacific Islander,10
79,Kent County,MD,White,15790
80,Kent County,MD,Black,2893
81,Kent County,MD,Asian,271
82,Kent County,MD,Two or more Races,390
83,Kent County,MD,Native American or Alaskan,68
84,Montgomery County,MD,Native American or Alaskan,7784
85,Montgomery County,MD,White,630063
86,Montgomery County,MD,Asian,163845
87,Montgomery County,MD,Native Hawaiian or Pacific Islander,1062
88,Montgomery County,MD,Two or more Races,36387
89,Montgomery County,MD,Black,211547
90,Prince George's County,MD,Asian,40161
91,Prince George's County,MD,White,246145
92,Prince George's County,MD,Native American or Alaskan,10955
93,Prince George's County,MD,Native Hawaiian or Pacific Islander,1748
94,Prince George's County,MD,Two or more Races,25005
95,Prince George's County,MD,Black,585313
96,Queen Anne's County,MD,Native American or Alaskan,243
97,Queen Anne's County,MD,White,45252
98,Queen Anne's County,MD,Black,3194
99,Queen Anne's County,MD,Asian,603
100,Queen Anne's County,MD,Native Hawaiian or Pacific Islander,62
101,Queen Anne's County,MD,Two or more Races,1027
102,St. Mary's County,MD,Two or more Races,4051
103,St. Mary's County,MD,Black,16869
104,St. Mary's County,MD,White,88595
105,St. Mary's County,MD,Native American or Alaskan,554
106,St. Mary's County,MD,Native Hawaiian or Pacific Islander,145
107,St. Mary's County,MD,Asian,3296
108,Somerset County,MD,Native American or Alaskan,122
109,Somerset County,MD,White,13896
110,Somerset County,MD,Black,10634
111,Somerset County,MD,Asian,258
112,Somerset County,MD,Native Hawaiian or Pacific Islander,19
113,Somerset County,MD,Two or more Races,687
114,Talbot County,MD,Native American or Alaskan,161
115,Talbot County,MD,Two or more Races,679
116,Talbot County,MD,Native Hawaiian or Pacific Islander,72
117,Talbot County,MD,Asian,538
118,Talbot County,MD,Black,4758
119,Talbot County,MD,White,30973
120,Washington County,MD,Two or more Races,4636
121,Washington County,MD,Asian,2921
122,Washington County,MD,Black,18921
123,Washington County,MD,White,123930
124,Washington County,MD,Native American or Alaskan,514
125,Washington County,MD,Native Hawaiian or Pacific Islander,127
126,Wicomico County,MD,Black,28336
127,Wicomico County,MD,Asian,3136
128,Wicomico County,MD,Native Hawaiian or Pacific Islander,146
129,Wicomico County,MD,Two or more Races,2931
130,Wicomico County,MD,Native American or Alaskan,421
131,Wicomico County,MD,White,68639
132,Worcester County,MD,Native American or Alaskan,215
133,Worcester County,MD,White,43411
134,Worcester County,MD,Black,6813
135,Worcester County,MD,Asian,801
136,Worcester County,MD,Native Hawaiian or Pacific Islander,23
137,Worcester County,MD,Two or more Races,1013
138,Baltimore City,MD,Native American or Alaskan,2732
139,Baltimore City,MD,Two or more Races,13050
140,Baltimore City,MD,Native Hawaiian or Pacific Islander,552
141,Baltimore City,MD,Asian,16233
142,Baltimore City,MD,Black,372277
143,Baltimore City,MD,White,188646
